n_samples,n_colorings,seed,triangle_count,four_cycle_count,diamond_count,k4_count,tailed_triangle_count,five_cycle_count,six_cycle_count,star_count_k2,star_count_k3,star_count_k4,star_count_k5,star_count_k6,star_count_k7,star_count_k8,star_count_k9,star_count_k10,runtime_triangle_s,runtime_motif4_s,runtime_motif5_s,runtime_motif6_s,runtime_stars_s
1000,1,0,660,1104,552,0,8145,475,3061,30759,116045,1144033,10577404,112169652,803830752,4227423145,20482404861,123336249728,0.00041804194916039705,0.028332540998235345,0.03197083401028067,0.04266737506259233,0.12406416703015566
1000,1,1,660,1138,1069,23,9790,616,409,31825,138166,922169,6922371,115745032,747665749,4985002731,15498177315,544795961977,0.00039683294016867876,0.02392195793800056,0.03144691593479365,0.041317833005450666,0.12115858402103186
1000,1,2,660,1504,680,72,7876,952,1637,31682,128189,1044208,20440100,131786922,593816803,5577887082,34751881252,84449167,0.00038470898289233446,0.023032958968542516,0.03073995909653604,0.04141504201106727,0.12065962492488325
1000,1,3,660,1813,369,11,7521,808,454,31151,136949,894720,15705255,48795701,917362306,2761265579,36108531746,93751861031,0.0003886250779032707,0.02352733293082565,0.03070441703312099,0.04143141699023545,0.12597120797727257
1000,1,4,660,1007,647,12,9779,487,2304,31039,114979,1225206,15489484,96307150,1174229402,11893518988,82543142016,216123525644,0.00039091601502150297,0.023546542041003704,0.030876167002134025,0.04146429104730487,0.12145662505645305
1000,1,5,660,724,329,0,8428,1069,434,32215,144452,1100135,9483029,102500167,1359027825,6751105957,96369725926,544916825521,0.00038587499875575304,0.02333400002680719,0.0313635419588536,0.041045165969990194,0.12490837497171015
1000,1,6,660,1125,703,0,6888,760,1036,31632,134094,1154966,16173806,130892409,1014786969,3793875827,61802581928,423674938413,0.0003940829774364829,0.023657165933400393,0.0308262089965865,0.04128733405377716,0.12348770897369832
1000,1,7,660,1316,901,0,7689,717,408,30161,143564,1412939,10235169,175225828,525014551,7280925647,68511114211,545315062743,0.0003872920060530305,0.024051165906712413,0.03182883304543793,0.04327683290466666,0.12281387497205287
1000,1,8,660,1341,722,69,6191,745,2006,31089,131711,1536633,6538280,114957224,1699020914,11053504121,50842776790,99665842255,0.00038770807441323996,0.02337716706097126,0.031539584044367075,0.04320116702001542,0.13108233304228634
1000,1,9,660,1233,580,36,6964,621,898,30348,147000,1416380,15327339,150347808,893465263,7832343706,52147958313,356300958196,0.00038058299105614424,0.023565915995277464,0.030981209012679756,0.041793417069129646,0.12583141692448407
